Time,Source_IP,Protocol,Status,Confidence,Method
10:49:42,127.0.0.1,tcp,normal,0.60,ml
10:49:42,127.0.0.1,tcp,normal,0.61,ml
10:49:42,127.0.0.1,tcp,normal,0.60,ml
10:49:42,127.0.0.1,tcp,normal,0.61,ml
10:49:42,127.0.0.1,tcp,normal,0.60,ml
10:49:42,127.0.0.1,tcp,normal,0.61,ml
10:49:42,127.0.0.1,tcp,normal,0.60,ml
10:49:42,127.0.0.1,tcp,normal,0.61,ml
10:49:42,127.0.0.1,tcp,normal,0.60,ml
10:49:42,127.0.0.1,tcp,normal,0.61,ml
10:49:42,127.0.0.1,tcp,normal,0.60,ml
10:49:42,127.0.0.1,tcp,normal,0.61,ml
10:49:42,127.0.0.1,tcp,normal,0.60,ml
10:49:42,127.0.0.1,tcp,normal,0.61,ml
10:49:42,127.0.0.1,tcp,normal,0.60,ml
10:49:42,127.0.0.1,tcp,normal,0.61,ml
10:49:42,127.0.0.1,tcp,normal,0.60,ml
10:49:42,127.0.0.1,tcp,normal,0.61,ml
10:49:42,127.0.0.1,tcp,normal,0.60,ml
10:49:42,127.0.0.1,tcp,normal,0.61,ml
10:49:42,127.0.0.1,tcp,normal,0.60,ml
10:49:42,127.0.0.1,tcp,normal,0.61,ml
10:49:42,127.0.0.1,tcp,normal,0.60,ml
10:49:42,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:43,127.0.0.1,tcp,normal,0.61,ml
10:49:43,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:44,127.0.0.1,tcp,normal,0.61,ml
10:49:44,127.0.0.1,tcp,normal,0.60,ml
10:49:45,127.0.0.1,tcp,normal,0.61,ml
10:49:45,127.0.0.1,tcp,normal,0.60,ml
10:49:45,127.0.0.1,tcp,normal,0.61,ml
10:49:45,127.0.0.1,tcp,normal,0.60,ml
10:49:45,127.0.0.1,tcp,normal,0.61,ml
10:49:45,127.0.0.1,tcp,normal,0.60,ml
10:49:45,127.0.0.1,tcp,normal,0.61,ml
10:49:45,127.0.0.1,tcp,normal,0.60,ml
10:49:45,127.0.0.1,tcp,normal,0.61,ml
